Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2020-01-24 02:31:02;2020-01-24 09:27:39;50%;96%;;0;3754;Normal;100.4;;119.4;24997.1;18747.8;166.6;2020-01-24 06:15:00;2020-01-24 06:45:00;true;0.0;32.0;No weather;
2020-01-25 02:45:04;2020-01-25 09:42:11;64%;96%;;0;3349;Normal;100.8;;93.0;25027.1;22023.8;166.8;2020-01-25 06:15:00;2020-01-25 06:45:00;true;0.0;32.0;No weather;
2020-01-26 01:09:24;2020-01-26 09:26:31;97%;92%;;0;223;Normal;100.3;;58.3;29826.9;27142.5;198.8;2020-01-26 06:15:00;2020-01-26 06:45:00;true;0.0;32.0;No weather;
2020-01-27 01:39:15;2020-01-27 09:26:47;83%;92%;;0;468;Normal;101.1;;73.1;28052.0;21600.0;187.0;2020-01-27 06:15:00;2020-01-27 06:45:00;true;0.0;32.0;No weather;
2020-01-28 01:39:30;2020-01-28 09:12:56;84%;93%;;0;250;Normal;100.5;;65.8;27206.6;21493.3;2267.2;2020-01-28 06:15:00;2020-01-28 06:45:00;true;0.0;32.0;No weather;
2020-01-29 02:05:48;2020-01-29 09:42:10;87%;95%;;0;2520;Normal;101.6;;62.2;27382.2;22179.5;182.5;2020-01-29 06:15:00;2020-01-29 06:45:00;true;0.0;32.0;No weather;
2020-01-31 02:15:48;2020-01-31 09:42:14;92%;95%;;0;1724;Normal;101.2;;47.3;26786.6;23215.1;1696.5;2020-01-31 06:15:00;2020-01-31 06:45:00;true;0.0;32.0;No weather;
2020-02-02 01:31:54;2020-02-02 09:28:09;82%;92%;;0;581;Normal;101.8;;74.8;28575.9;22098.7;2952.8;2020-02-02 06:15:00;2020-02-02 06:45:00;true;0.0;32.0;No weather;
2020-02-03 01:23:26;2020-02-03 02:02:39;8%;26%;;0;411;Normal;101.6;;0.0;2352.9;1356.9;15.7;2020-02-03 06:15:00;2020-02-03 06:45:00;true;0.0;32.0;No weather;
2020-02-03 02:03:00;2020-02-03 09:20:38;75%;93%;;0;411;Normal;101.6;;75.4;26257.1;21793.4;2188.1;2020-02-03 06:15:00;2020-02-03 06:45:00;true;0.0;32.0;No weather;
2020-02-04 01:41:36;2020-02-04 09:24:10;91%;96%;;0;2382;Normal;102.4;;55.9;27754.1;23128.4;185.0;2020-02-04 06:10:00;2020-02-04 06:40:00;true;0.0;32.0;No weather;
